2019_country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje
COG,Congo,Países De Ingreso Mediano Bajo,13976.6377799763,0.06
COL,Colombia,Ingreso Mediano Alto,323031.70119284,1.5
COM,Comoros,Países De Ingreso Mediano Bajo,1195.0195319011,0.01
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2252.17713374705,0.01
CRI,Costa Rica,Ingreso Mediano Alto,64417.6705213545,0.3
CUB,Cuba,Ingreso Mediano Alto,103427.6,0.48
CUW,Curaçao,Ingreso Alto,3026.12413407821,0.01
CYM,Cayman Islands,Ingreso Alto,5941.89660758643,0.03
CYP,Cyprus,Ingreso Alto,26196.6670995303,0.12
CZE,Czechia,Ingreso Alto,256794.20902877,1.19
DEU,Germany,Ingreso Alto,3957208.05521568,18.37
DJI,Djibouti,Países De Ingreso Mediano Bajo,3088.85363856832,0.01
DMA,Dominica,Ingreso Mediano Alto,611.5370370370371,0.0
DNK,Denmark,Ingreso Alto,345401.473012615,1.6
DOM,Dominican Republic,Ingreso Mediano Alto,88941.3725582397,0.41
DZA,Algeria,Ingreso Mediano Alto,193459.662090677,0.9
ECU,Ecuador,Ingreso Mediano Alto,107595.829,0.5
EGY,Egypt,Países De Ingreso Mediano Bajo,318678.815489749,1.48
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0
ESP,Spain,Ingreso Alto,1403496.38768627,6.52
EST,Estonia,Ingreso Alto,31873.7487700313,0.15
ETH,Ethiopia,Países De Ingreso Bajo,95912.6077223032,0.45
FIN,Finland,Ingreso Alto,267014.821129411,1.24
FJI,Fiji,Ingreso Mediano Alto,5444.40721431758,0.03
FRA,France,Ingreso Alto,2722793.51517176,12.64
FRO,Faroe Islands,Ingreso Alto,3266.43273422819,0.02
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,394.0,0.0
GAB,Gabon,Ingreso Mediano Alto,16874.405465391003,0.08
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,2851407.1649078103,13.24
GEO,Georgia,Ingreso Mediano Alto,17638.3371169126,0.08
GHA,Ghana,Países De Ingreso Mediano Bajo,68337.9692477067,0.32
GIB,Gibraltar,Ingreso Alto,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,13442.8614964454,0.06
GMB,Gambia,Países De Ingreso Bajo,1813.60969249994,0.01
GNB,Guinea-Bissau,Países De Ingreso Bajo,1588.63885359328,0.01
GNQ,Equatorial Guinea,Ingreso Mediano Alto,11364.1335497478,0.05
GRC,Greece,Ingreso Alto,207305.649887019,0.96
GRD,Grenada,Ingreso Mediano Alto,1213.48518518519,0.01
GRL,Greenland,Ingreso Alto,2997.3099718762296,0.01
GTM,Guatemala,Ingreso Mediano Alto,77172.3172586478,0.36
GUM,Guam,Ingreso Alto,6355.0,0.03
GUY,Guyana,Ingreso Alto,5173.760191846521,0.02
HKG,Hong Kong,Ingreso Alto,363074.54507238895,1.69
HND,Honduras,Países De Ingreso Mediano Bajo,24882.2257418119,0.12
HRV,Croatia,Ingreso Alto,61467.58219368241,0.29
HTI,Haiti,Países De Ingreso Mediano Bajo,15016.0909295125,0.07
HUN,Hungary,Ingreso Alto,164020.460331659,0.76
IDN,Indonesia,Ingreso Mediano Alto,1119099.87138579,5.2
IMN,Isle Of Man,Ingreso Alto,7314.96786628289,0.03
IND,India,Países De Ingreso Mediano Bajo,2835606.25655819,13.16
IRL,Ireland,Ingreso Alto,407124.824064995,1.89
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,333519.146339191,1.55
IRQ,Iraq,Ingreso Mediano Alto,233636.097800338,1.08
ISL,Iceland,Ingreso Alto,24681.3436492952,0.11
ISR,Israel,Ingreso Alto,399651.06519787095,1.86
ITA,Italy,Ingreso Alto,2019606.79658353,9.38
JAM,Jamaica,Ingreso Mediano Alto,15830.7665707266,0.07
JOR,Jordan,Países De Ingreso Mediano Bajo,44503.0063380282,0.21
JPN,Japan,Ingreso Alto,5117993.85301651,23.76
KAZ,Kazakhstan,Ingreso Mediano Alto,181667.184854501,0.84
KEN,Kenya,Países De Ingreso Mediano Bajo,100378.436207371,0.47
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,9371.27526436735,0.04
KHM,Cambodia,Países De Ingreso Mediano Bajo,36685.3564077206,0.17
KIR,Kiribati,Países De Ingreso Mediano Bajo,216.985362338171,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,1107.8555555555602,0.01
KOR,"Korea, Republic Of",Ingreso Alto,1651422.93244777,7.67
KWT,Kuwait,Ingreso Alto,140856.39487001998,0.65
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18740.5615125555,0.09
LBN,Lebanon,Países De Ingreso Mediano Bajo,51605.9591312741,0.24
LBR,Liberia,Países De Ingreso Bajo,3319.5965,0.02
LBY,Libya,Ingreso Mediano Alto,69254.4964716938,0.32
LCA,Saint Lucia,Ingreso Mediano Alto,2095.37037037037,0.01
LIE,Liechtenstein,Ingreso Alto,6436.46700711932,0.03
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,89014.9783441404,0.41
LSO,Lesotho,Países De Ingreso Mediano Bajo,2390.7022958277703,0.01
LTU,Lithuania,Ingreso Alto,55122.066225796,0.26
LUX,Luxembourg,Ingreso Alto,69890.50532358419,0.32
LVA,Latvia,Ingreso Alto,33099.503950847,0.15
MAC,Macao,Ingreso Alto,55082.2938441008,0.26
MAF,Saint Martin (French Part),Ingreso Alto,652.206037103874,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,128920.266409458,0.6
MCO,Monaco,Ingreso Alto,7383.49625423721,0.03
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,11736.7970546965,0.05
MDG,Madagascar,Países De Ingreso Bajo,14104.6646785063,0.07
MDV,Maldives,Ingreso Mediano Alto,5726.094799377091,0.03
MEX,Mexico,Ingreso Mediano Alto,1304106.2036948102,6.05
MHL,Marshall Islands,Ingreso Mediano Alto,232.9,0.0
MKD,North Macedonia,Ingreso Mediano Alto,12606.338448547,0.06
MLI,Mali,Países De Ingreso Bajo,17280.2508100321,0.08
MLT,Malta,Ingreso Alto,16337.7935307788,0.08
MMR,Myanmar,Países De Ingreso Mediano Bajo,75065.10622768919,0.35
MNE,Montenegro,Ingreso Mediano Alto,5542.05418112616,0.03
MNG,Mongolia,Ingreso Mediano Alto,14206.3590175143,0.07
MNP,Northern Mariana Islands,Ingreso Alto,1179.0,0.01
MOZ,Mozambique,Países De Ingreso Bajo,15512.759046672,0.07
MRT,Mauritania,Países De Ingreso Mediano Bajo,7894.76488582312,0.04
MUS,Mauritius,Ingreso Mediano Alto,14436.3469796355,0.07
MWI,Malawi,Países De Ingreso Bajo,11051.8655798121,0.05
MYS,Malaysia,Ingreso Mediano Alto,365177.721021516,1.7
NAM,Namibia,Ingreso Mediano Alto,12541.92830348,0.06
NCL,New Caledonia,Ingreso Alto,9475.655324594947,0.04
NER,Niger,Países De Ingreso Bajo,12889.5555612299,0.06
NGA,Nigeria,Países De Ingreso Mediano Bajo,474517.490844461,2.2
NIC,Nicaragua,Países De Ingreso Mediano Bajo,12699.028889666,0.06
NLD,Netherlands,Ingreso Alto,928903.005576469,4.31
NOR,Norway,Ingreso Alto,408742.840909091,1.9
NPL,Nepal,Países De Ingreso Mediano Bajo,34186.1806990255,0.16
NRU,Nauru,Ingreso Alto,124.871111377973,0.0
NZL,New Zealand,Ingreso Alto,212846.907683439,0.99
OMN,Oman,Ingreso Alto,88060.8582574772,0.41
PAK,Pakistan,Países De Ingreso Mediano Bajo,320909.47277066903,1.49
PAN,Panama,Ingreso Alto,69778.9912,0.32
PER,Peru,Ingreso Mediano Alto,228346.006003648,1.06
PHL,Philippines,Países De Ingreso Mediano Bajo,376823.402244928,1.75
PLW,Palau,Ingreso Alto,281.9415625,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,24750.626040591706,0.11
POL,Poland,Ingreso Alto,602683.77014488,2.8
PRI,Puerto Rico,Ingreso Alto,105126.4,0.49
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,240115.97006301905,1.11
PRY,Paraguay,Ingreso Mediano Alto,37925.3383291494,0.18
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,17133.5,0.08
PYF,French Polynesia,Ingreso Alto,6022.276196138711,0.03
QAT,Qatar,Ingreso Alto,176371.267689082,0.82
ROU,Romania,Ingreso Alto,251677.08253449496,1.17
RUS,Russian Federation,Ingreso Alto,1693115.00270832,7.86
RWA,Rwanda,Países De Ingreso Bajo,10349.30038033,0.05
SAU,Saudi Arabia,Ingreso Alto,838564.8,3.89
SDN,Sudan,Países De Ingreso Bajo,32338.0791652893,0.15
SEN,Senegal,Países De Ingreso Mediano Bajo,23403.9959921354,0.11
SGP,Singapore,Ingreso Alto,376901.649222451,1.75
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1619.1550173924,0.01
SLE,Sierra Leone,Países De Ingreso Bajo,6523.57759038319,0.03
SLV,El Salvador,Ingreso Mediano Alto,26881.14,0.12
SMR,San Marino,Ingreso Alto,1616.23212512587,0.01
SOM,Somalia,Países De Ingreso Bajo,8655.023960002001,0.04
SRB,Serbia,Ingreso Mediano Alto,53864.6936645568,0.25
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,412.976082620705,0.0
SUR,Suriname,Ingreso Mediano Alto,4016.04057508796,0.02
SVK,Slovakia,Ingreso Alto,105843.498304094,0.49
SVN,Slovenia,Ingreso Alto,53909.922735545,0.25
SWE,Sweden,Ingreso Alto,532169.29416594,2.47
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4594.81814327624,0.02
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1407.88044692737,0.01
SYC,Seychelles,Ingreso Alto,1868.69009673454,0.01
SYR,Syrian Arab Republic,Países De Ingreso Bajo,22583.0450600821,0.1
TCA,Turks And Caicos Islands,Ingreso Alto,1177.28521172521,0.01
TCD,Chad,Países De Ingreso Bajo,11314.9510917283,0.05
TGO,Togo,Países De Ingreso Bajo,6992.70010137188,0.03
THA,Thailand,Ingreso Mediano Alto,543976.691793886,2.53
TJK,Tajikistan,Países De Ingreso Mediano Bajo,8300.8135993084,0.04
TKM,Turkmenistan,Ingreso Mediano Alto,45232.8571428571,0.21
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,2032.5504,0.01
TON,Tonga,Ingreso Mediano Alto,494.197841113077,0.0
TTO,Trinidad And Tobago,Ingreso Alto,23775.659262573503,0.11
TUN,Tunisia,Países De Ingreso Mediano Bajo,41905.642418825,0.19
TUR,Turkey,Ingreso Mediano Alto,761005.9157509251,3.53
TUV,Tuvalu,Ingreso Mediano Alto,54.1231985662913,0.0
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,61026.7319259213,0.28
UGA,Uganda,Países De Ingreso Bajo,35348.1550954215,0.16
UKR,Ukraine,Ingreso Mediano Alto,153883.047509577,0.71
URY,Uruguay,Ingreso Alto,62222.3258070578,0.29
USA,United States Of America,Ingreso Alto,21539982.0,100.0
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,67293.6397983996,0.31
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,910.766666666667,0.0
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,4121.0,0.02
VNM,Viet Nam,Países De Ingreso Mediano Bajo,334365.270496667,1.55
VUT,Vanuatu,Países De Ingreso Mediano Bajo,936.526267622513,0.0
WSM,Samoa,Países De Ingreso Mediano Bajo,912.950466064906,0.0
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,389330.032224269,1.81
ZMB,Zambia,Países De Ingreso Mediano Bajo,23308.6677812258,0.11
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,25717.409842447894,0.12
